Location,Total incidents,Race/Ethnicity/Ancestry,Religion,Sexual orientation,Disability,Gender,Gender Identity,Multiple-bias incidents
Total,7314,3963,1521,1195,157,69,198,211
Abandoned/condemned structure,11,4,5,0,0,0,0,2
Air/bus/train terminal,113,69,11,23,1,2,1,6
Amusement park,5,2,0,3,0,0,0,0
Arena/stadium/fairgrounds/coliseum,9,3,1,4,0,0,0,1
Auto dealership new/used,6,3,2,0,0,0,1,0
Bank/savings and loan,21,16,3,1,0,0,1,0
Bar/nightclub,124,66,11,41,0,1,2,3
Camp/campground,8,6,2,0,0,0,0,0
Church/synagogue/temple/mosque,322,34,255,19,0,0,0,14
Commercial office building,161,92,28,26,1,1,6,7
Community center,21,8,2,9,0,0,2,0
Construction site,23,14,6,1,1,0,0,1
Convenience store,127,82,16,19,2,1,4,3
Cyberspace,36,21,10,2,0,0,1,2
Daycare facility,4,3,1,0,0,0,0,0
Department/discount store,101,67,14,12,0,2,3,3
Dock/wharf/freight/modal terminal,2,1,1,0,0,0,0,0
Drug store/doctor's office/hospital,94,56,15,8,4,6,4,1
Farm facility,3,2,0,0,0,0,1,0
Field/woods,61,30,19,8,0,0,1,3
Gambling facility/casino/race track,2,1,0,1,0,0,0,0
Government/public building,132,86,24,15,2,1,3,1
Grocery/supermarket,99,65,9,10,7,0,7,1
Highway/road/alley/street/sidewalk,1329,814,142,268,23,6,50,26
Hotel/motel/etc.,55,33,8,10,1,0,2,1
Industrial site,18,13,2,3,0,0,0,0
Jail/prison/penitentiary/corrections facility,90,64,1,18,1,2,3,1
Lake/waterway/beach,16,9,1,6,0,0,0,0
Liquor store,26,13,7,3,2,0,0,1
Park/playground,196,98,50,26,1,0,3,18
Parking/drop lot/garage,341,245,27,52,4,2,6,5
Rental storage facility,14,10,3,0,0,1,0,0
Residence/home,1800,1004,272,336,76,29,51,32
Rest area,4,3,0,1,0,0,0,0
Restaurant,214,138,15,45,3,0,5,8
School/college2,50,28,11,9,1,0,1,0
School—college/university,195,93,52,31,2,5,2,10
School—elementary/secondary,458,232,115,47,12,2,9,41
Service/gas station,76,53,9,7,3,0,2,2
Shelter—mission/homeless,32,17,0,10,1,0,3,1
Shopping mall,17,8,0,5,0,0,1,3
"Specialty store (TV, fur, etc.)",63,36,15,6,1,0,3,2
Tribal Lands,1,0,0,0,0,0,0,1
Other/unknown,822,311,356,109,7,8,20,11
Multiple locations,12,10,0,1,1,0,0,0